"","tot_sasa","REG"
"389","10.2774990518",7
"390","10.2823099472",7
"391","10.2899777131",0
"392","10.2916034953",0
"393","10.3030244811",3
"394","10.3042865693",6
"395","10.3086559781",5
"396","10.333568466",0
"397","10.359012094",3
"398","10.3702437858",3
"399","10.3714768835",2
"400","10.3732559579",5
"401","10.3790405741",11
"402","10.3890917609",6
"403","10.392024275",0
"404","10.4062559255",0
"405","10.4067059691",1
"406","10.4076871585",1
"407","10.4118231865",4
"408","10.433767303",1
"409","10.4470535067",0
"410","10.4591353499",1
"411","10.4698286457",1
"412","10.4929611806",3
"413","10.5316156695",2
"414","10.533083865",0
"415","10.548409826",0
"416","10.5541200889",1
"417","10.563534049",10
"418","10.5645940611",0
"419","10.5704607963",3
"420","10.5718078483",1
"421","10.5736749648",0
"422","10.5824985241",0
"423","10.5880694644",2
"424","10.5995799312",2
"425","10.6046097745",0
"426","10.6136332817",1
"427","10.6249822926",0
"428","10.6327234106",3
"429","10.6343389708",1
"430","10.6352690826",4
"431","10.6412450133",2
"432","10.6503542691",0
"433","10.6583707874",2
"434","10.6775261034",1
"435","10.6814809736",6
"436","10.6823610788",9
"437","10.7067603852",2
"438","10.7116363596",0
"439","10.7164577462",0
"440","10.7245421906",3
"441","10.7249187365",0
"442","10.740470593",0
"443","10.7435500895",0
"444","10.7449803868",0
"445","10.7581748746",1
"446","10.7657291151",1
"447","10.7672125606",1
"448","10.7736747977",6
"449","10.7767571416",13
"450","10.783611293",6
"451","10.7924070199",3
"452","10.8063942645",0
"453","10.806962105",5
"454","10.8104778575",3
"455","10.8144100242",5
"456","10.8178373435",10
"457","10.8596079173",4
"458","10.8604893067",1
"459","10.8771546465",0
"460","10.8779050265",0
"461","10.8793826201",0
"462","10.882617971",0
"463","10.8874286189",2
"464","10.8881405058",3
"465","10.8908489426",0
"466","10.9080920977",1
"467","10.9279816272",7
"468","10.9299755472",1
"469","10.9301361477",1
"470","10.9418017791",0
"471","10.9457045427",5
"472","10.9637370806",4
"473","10.9644896486",8
"474","10.9761010047",6
"475","10.9875430636",0
"476","10.9961157763",0
"477","11.0036495053",4
"478","11.0196357231",3
"479","11.0202217274",5
"480","11.0219278436",8
"481","11.0233464328",2
"482","11.0236065082",0
"483","11.0264226722",1
